time,high,average,open,low
2018-05-06 13:00:00,9606.38,9558.73,9527.29,9516
2018-05-06 12:00:00,9537.41,9498.36,9501.41,9431.59
2018-05-06 11:00:00,9570.13,9540.7,9568.13,9473.71
2018-05-06 10:00:00,9612.56,9590.63,9556.82,9556.82
2018-05-06 09:00:00,9582.13,9556.41,9568.31,9523.92
2018-05-06 08:00:00,9692.23,9612.6,9690.57,9532.49
2018-05-06 07:00:00,9690.57,9668.13,9669.84,9642.91
2018-05-06 06:00:00,9733.64,9658.74,9733.64,9589.82
2018-05-06 05:00:00,9828.36,9772.18,9828.36,9733.64
2018-05-06 04:00:00,9881.82,9861.76,9857.26,9828.36
2018-05-06 03:00:00,9870.29,9859.71,9846.84,9845.28
2018-05-06 02:00:00,9900.51,9864.76,9900.51,9834.64
2018-05-06 01:00:00,9916.85,9893.78,9910.72,9878.19
2018-05-06 00:00:00,9910.72,9872.02,9833.72,9819.72
2018-05-05 23:00:00,9844.87,9823.55,9813.3,9802.02
2018-05-05 22:00:00,9832.21,9800.23,9774.36,9758.92
2018-05-05 21:00:00,9778.25,9752,9753.33,9710.2
2018-05-05 20:00:00,9850.04,9796.41,9847.32,9738
2018-05-05 19:00:00,9859.97,9852.71,9847.87,9846.69
2018-05-05 18:00:00,9866.45,9841.58,9858.94,9819.46
2018-05-05 17:00:00,9913.73,9902.12,9891.76,9858.94
2018-05-05 16:00:00,9902.9,9886.61,9902.4,9854.2
2018-05-05 15:00:00,9941.69,9919.22,9927.84,9889.94
2018-05-05 14:00:00,9933.21,9922.87,9874.28,9874.28
2018-05-05 13:00:00,9951.34,9928.72,9915.69,9874.28
2018-05-05 12:00:00,9934.29,9896.73,9860.77,9860.77
2018-05-05 11:00:00,9910.91,9871.11,9910.91,9839.39
2018-05-05 10:00:00,9924.91,9888.84,9825.73,9824.81
2018-05-05 09:00:00,9838.9,9826.57,9812.97,9812.97
2018-05-05 08:00:00,9842.85,9808.48,9782.04,9776
2018-05-05 07:00:00,9791.08,9781.43,9769.68,9766.53
2018-05-05 06:00:00,9808.14,9789.82,9808.14,9769.68
2018-05-05 05:00:00,9829.42,9807.29,9822.18,9784.33
2018-05-05 04:00:00,9852.24,9826.78,9808.4,9808.38
2018-05-05 03:00:00,9820,9802.79,9808.42,9782.5
2018-05-05 02:00:00,9845.84,9812.88,9771.59,9771.59
2018-05-05 01:00:00,9771.59,9732.9,9747.93,9715.94
2018-05-05 00:00:00,9756.6,9726,9692.15,9676.31
2018-05-04 23:00:00,9736.96,9709.38,9733.55,9692.15
2018-05-04 22:00:00,9741.46,9719.91,9719.22,9688.89
2018-05-04 21:00:00,9724.3,9703.07,9685.36,9675.5
2018-05-04 20:00:00,9700.67,9669.58,9650.89,9643.74
2018-05-04 19:00:00,9655.42,9643.15,9633.29,9630.08
2018-05-04 18:00:00,9653.04,9637.68,9652.58,9618.95
2018-05-04 17:00:00,9692.75,9659.67,9653.38,9639.73
2018-05-04 16:00:00,9653.38,9623.55,9606.91,9574.97
2018-05-04 15:00:00,9684.11,9637.71,9679.53,9578.36
